noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
1154,19,CAUCA,19548,PIENDAMO,1905,190530,LIMITE URBANO,LIMITE URBANO,KR 3,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1914,41,HUILA,41001,NEIVA,4100,410009,MUNICIPIO TELLO,VÍA NEIVA-SAN ANTONIO,MUNICIPIO TELLO,VÍA NEIVA-FORTALECILLAS,Rural,Sin Informacion de Barrios,Fortalecillas- FORTALECILLAS-  La Jagua-  LA JAGUA-  La Mata-  La Mojarra-  Llanitos-  MESA DEL TRAPICHE-  SAN ANTONIO-  SIERRA-  Venadito-  Venado
1069,17,CALDAS,17442,MARMATO,1780,178007,MUNICIPIO CARAMANTA,MPIO. SUPIA Y LA MERCED,MUNICIPIO PACORA,MUNICIPIO SUPIA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1871,27,CHOCO,27077,BAJO BAUDO,2750,275037,MPIO. NUQUI Y ALTO BAUDO,RÍO BAUDO,MUNICIPIO MEDIO BAUDO,OCÉANO PACÍFICO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1591,25,CUNDINAMARCA,25807,TIBIRITA,2508,250820,CL 8,CL 1,KR 1,KR 5 BIS,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2735,68,SANTANDER,68001,BUCARAMANGA,6800,680003,CL  45,M. FLORIDABLANC,LIMITE URBANO,DG 15 Y KR 27,Urbano,Altos de Terrazas- Altos del Cacique- Altos del Lago- Antonia Santos I- Asturias II- Bolarqui- Cabecera del Llano- Campestre- Conucos- Diamante I- El Tejar- Guayacanes I II Y III- Hacienda San Juan- Jardín- La Concordia- La Floresta- La Libertad- La Salle,10 de Mayo Santa Bárbara
1755,25,CUNDINAMARCA,25662,SAN JUAN DE RIO SECO,2532,253258,MUNICIPIO CHAGUANÍ,MUNICIPIO BELTRÁN,M. RÍO SECO  DE LAS PALMAS,MPIO. AMBALEMA Y ARMERO,Rural,Sin Informacion de Barrios,CAMBAO- CAPIRA-  EL LIMON-  HONDURAS-  La Aldea Danubio-  LA UNION-  LLANO DEL PLATANAL-  LOMA LARGA-  NUQUIA-  PUERTO CHAGUANI-  San Martin-  Santuario
682,13,BOLIVAR,13670,SAN PABLO,1350,135040,CL 22,LIMITE URBANO,KR 2,KR 17,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
863,15,BOYACA,15511,PACHAVITA,1532,153217,MPIO. UMBITA Y CHINAVITA,MPIO. TENZA Y GARAGOA,MPIO. CHINAVITA Y GARAGOA,MPIO. UMBITA Y LA CAPILLA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
137,5,ANTIOQUIA,05858,VEGACHI,528,52837,MUNICPIOS REMEDIOS,MUNICIPIO YALI,MUNICIPIO REMEDIOS,MUNICIPIO AMALFI,Rural,Sin Informacion de Barrios,Bélgica- Corinto-  El Cascajo-  El Churu-  El Jabón-  El Olvido-  El Silencio-  El Tigre-  Guamoco-  La Aldea-  La Alejandría-  La Clarita-  La Gallinera-  Mata Arriba-  Mona-  San Juan-  San Pascual
28,5,ANTIOQUIA,05001,MEDELLIN,500,50031,CL  47D,CL  33,KR  66B  Y  63D,KR  81  Y  80,Urbano,Bolivariana- El Velódromo- Florida Nueva- Las Acacias- Laureles- Lorena- Los Pinos- Naranjal- San Joaquín- U.P.B,Sin Informacion de Veredas
2677,63,QUINDIO,63470,MONTENEGRO,6330,633007,MUNICIPIO QUIMBAYA,VÍA ARMENIA-LA VICTORIA,MPIO. ARMENIA Y CIRCASIA,MPIO. OBANDO Y LA VICTORIA,Rural,Aldea Suiza- Villa Marlen,El Guayabo- El Laurel-  La Australiana-  La Cabaña-  La Julia-  La Pradera-  Morelia Baja-  Pinares-  Pueblo Rico-  Santa Rita
3499,85,CASANARE,85279,RECETOR,8560,856050,KR 2,LIMITE URBANO,LIMITE URBANO,CL 1,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
944,15,BOYACA,15664,SAN JOSE DE PARE,1544,154460,LIMITE URBANO,CL 0,LIMITE URBANO,KR 5,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3332,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,7620,762010,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Bolívar- Centro- El Reposo- La Seiba- Los Almendros- Los Laureles- Nuevo Horizonte- Obrero I Etapa- Obrero II Etapa- Provivienda- Provivienda Etapa III Las Colinas- Villa Colombia- Villa de San Juan,Sin Informacion de Veredas
743,15,BOYACA,15774,SUSACON,1508,150887,MUNICIPIO SOATÁ,MUNICIPIO SATIVANORTE,M. BOAVITA- LA UVITA Y JERICÓ,MUNICIPIO ONZAGA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
41,5,ANTIOQUIA,05001,MEDELLIN,500,50048,MUNICIPIO SAN JERONIMO,ALTO DEL BOQUERÓN Y RELIEVE MON.,MUNICIPIO SAN PEDRO DE LOS MILAGROS,MUNICIPIO EBEJICO,Rural,Sin Informacion de Barrios,La Aldea- La Esmeralda-  La Frisola-  La Sucia-  La Suiza-  Los Pomos-  Potrera Miserenga
661,13,BOLIVAR,13810,TIQUISIO,1340,134048,RÍO PERMANEN. - LOMAS CERRO LARGO,MUNICIPIO MONTECRISTO,MUNICIPIO RÍO VIEJO,MPIO. ACHÍ Y MONTECRISTO,Rural,Sin Informacion de Barrios,Concepción
700,15,BOYACA,15814,TOCA,1502,150260,CL 12,CL 1,KR 3,KR 15,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1383,20,CESAR,20310,GONZALEZ,2050,205037,MUNICIPIO CONVENCIÓN,MPIO. OCAÑA Y GONZÁLEZ,MPIO. CONVENCIÓN Y OCAÑA,MPIO. OCAÑA Y RÍO DE ORO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
541,11,BOGOTA D.C.,11001,LOCALIDAD SUMAPAZ,1120,112041,QUEBRADA EL TUNAL,VEREDA SAN JOSE,MUNICIPIO  CUBARRAL,RIO SUMAPAZ,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
16,5,ANTIOQUIA,05001,MEDELLIN,500,50018,CERRO VÍA PANTANILLO,MUNICIPIO ENVIGADO,MUNICIPIO ENVIGADO,LIMITE URBANO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3666,99,VICHADA,99773,CUMARIBO,9910,991047,RÍO VICHADA- CÑ. MÚRIBO Y SEGUA,RÍO UVÁ,CAÑO SEGUA,MUNICIPIO PUERTO GAITÁN,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
